"crl.tot","dollar","bang","money","n000","make","yesno"
519,0,0.197,0.47,0,0,"y"
574,0.013,0.095,0.08,0.34,0.17,"y"
61,0.665,0.221,0,0,0,"y"
162,0.271,0,0,0,0.29,"y"
40,0,0,0,0,0,"n"
63,0.248,0,0,0,0,"y"
14,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
47,0,0,0,0,0,"n"
222,0.092,0,0.78,0,0,"y"
38,0,0,0,0,0,"n"
171,0,0.298,0,0,0,"y"
16,0,0,0,0,0,"n"
177,0,0,0,0,0,"n"
82,0,0,0,0,0,"n"
82,0,0,0,0,0,"n"
1234,0,0.34,0,0,0,"y"
40,0,0,0,0,0,"n"
62,0,0.546,0.9,0,0.9,"y"
36,0,0,0,0,0,"n"
141,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
32,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
53,0.212,0,1.31,0,0,"y"
86,0,0.829,0,0,0,"y"
75,0.118,0.653,0.36,0,0,"y"
79,0,0,0,0,0,"n"
381,0,0.264,0,0,0,"y"
40,0,1.939,0,0,0,"y"
93,0,0,0,0,0.69,"n"
4,0,0,0,0,0,"n"
39,0.172,0.344,0,0,0,"n"
115,0,0,0,0,0,"n"
110,0,0,0,0,0,"n"
111,0,0,0,0,0,"n"
899,0,0.124,0,0,0.76,"y"
13,0,0.616,0,0,0,"y"
199,0,3.851,0,0.86,0,"y"
102,0.816,0.081,0,1.38,0.46,"y"
161,0.159,0.372,0,0,0,"y"
41,0.171,0.171,0,2.1,0,"y"
90,0,0,0,0,0,"n"
49,0,0,0,0,0,"n"
65,0,0,0,0,0,"n"
681,0.021,0,0,0,0.07,"n"
17,0,0,0,0,0,"n"
95,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
45,0,0,0,0,0,"n"
425,0.175,0.878,0.37,0,0,"y"
12,0,0,0,0,0,"n"
845,0.085,0.096,0.06,0,0.06,"y"
52,0,0,0,0,0,"n"
1030,0.041,0.133,0.19,0,0.12,"y"
67,0.475,1.9,0,0,0,"y"
119,0.336,0.168,0,2.35,2.35,"y"
30,0,0,0,0,0,"n"
1118,0.141,0.329,0.54,0,0,"y"
282,0,0.147,0,0,0,"n"
26,0,0,0,0,0,"n"
507,0,0.61,0.31,0,0,"y"
150,0.107,0.321,0,0.62,0,"y"
155,0,0.043,0,0.31,0,"y"
23,0,0.729,0,0,0,"y"
42,0,0,0,0,0,"n"
378,0,0,0,0,0,"n"
421,0.04,0,0,0,0,"n"
146,0,0.542,0,0,0,"y"
78,0,0,0,0,0,"y"
102,0.823,0.082,0,1.38,0.46,"y"
98,0.381,0.305,0,0.96,0,"n"
519,0.278,1.113,0.84,0,0.84,"y"
11,0,0,0,0,0,"n"
167,0,0,0,0,0,"n"
100,0.082,0.165,0,0,0,"y"
5,0,0,0,0,0,"n"
125,0,0,0,0,0,"y"
71,0,0,0,0,0,"n"
76,0,0.139,0,0,0,"n"
114,0.07,2.115,0,0.45,0,"y"
492,0,0,0,0,0,"y"
632,0.317,0.766,1.38,0,1.18,"y"
272,0,0.261,0.38,0,0,"y"
42,0,0,0,0,0,"n"
196,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
458,0.163,0.02,0.05,0.75,0.17,"y"
294,0,0,0,0,0,"n"
67,0,0.367,0,0,0,"n"
507,0.028,0,0,0,0.1,"n"
42,0,0.119,0,0,0,"n"
28,0,0.444,0,0,0,"n"
52,0,0,0,0,0.9,"n"
136,0,0.561,0,0,0,"n"
227,0.23,0.057,0,2,0,"y"
29,0,0.149,0,0,0,"n"
187,0,0.877,0,0,0,"y"
77,0,0,0,0,0,"y"
44,0,1.326,0,0,0,"y"
107,0,0.048,0,0,0.67,"n"
3059,0.78,0.329,0.34,1.02,0.47,"y"
68,0,0,0,0,0,"n"
264,0.184,0.036,0.24,0.48,0,"y"
6,0,0,0,0,0,"n"
82,0,0.169,0,0,0,"n"
163,0.18,0.54,0,0,0,"y"
726,0.182,1.294,0.55,0.13,0.13,"y"
23,0,0,0,0,0,"n"
791,0,0.149,0,0,0,"n"
4,0,0,0,0,0,"n"
15,0,5.844,0,0,0,"y"
101,0,1.192,0,0,0,"y"
72,0,0,0,0,0,"n"
877,0.233,0.405,0.29,0.09,0.19,"y"
31,0,0,0,0,0.85,"n"
742,0.168,1.687,0,0,0.47,"y"
420,0,0,0,0,0.13,"n"
15,0,0,0,0,0,"n"
171,0,0.078,0,0,0,"n"
63,0,0.296,0,0,0,"n"
125,0,0.088,0,0,0,"y"
480,0,0.026,0,0,0,"n"
57,0,0.963,0,0,0,"y"
10,0,0.769,0,0,0,"n"
9,0,0,0,0,0,"n"
139,0.114,0.802,0,0,0,"y"
473,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
93,0.223,0.223,0.74,0,0,"y"
27,0,0.473,0,0,0,"n"
3498,0.165,0.639,0.84,0.34,0.87,"y"
742,0.168,1.683,0,0,0.46,"y"
30,0,0,0,0,0,"n"
6,0,0,0,0,3.84,"n"
334,0,0.531,0,0,0,"y"
53,0,0,0,0,2,"n"
71,0,0,0,0,0,"n"
41,0,0.067,0.41,0,0.41,"y"
264,0,0.718,0,0,0,"y"
95,0,0,0,0,0,"n"
298,0.188,0.235,0.27,0.82,0,"y"
32,0,0,0,0,1.08,"n"
142,0,0,0,0,0,"n"
161,0,0,0,0,0,"n"
53,0.213,0,1.31,0,0,"y"
118,0,0,0,0,0,"y"
58,0,0.291,0,0,0,"y"
1170,0.014,0,0,0,0.05,"n"
19,0,0,0,0,0,"n"
63,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
319,0.015,0.094,0.08,0,0.25,"y"
162,0,0.057,0,0,0,"n"
4,0,0,0,0,0,"n"
246,0,0,0,0,0.39,"n"
1399,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
14,0,2.272,0,0,0,"n"
48,0,0,0,0,0,"n"
164,0,0,0,0,0,"n"
2207,0.543,0.453,0.63,0.38,0.52,"y"
3027,0,0.002,0,0.01,0.01,"n"
265,0,0.114,0,0,0,"n"
143,0,0,0,0,0.23,"n"
55,0,0,0,0,0,"n"
176,0.333,0.5,0,1.83,0.73,"y"
